Date start:22/06/2018;Date stop:31/12/2018
Data;Marsica II.L1.V1.Status.WTG Event;Marsica II.L1.V2.Status.WTG Event;Marsica II.L2.CM2.Status.WTG Event;Marsica II.L2.CM3.Status.WTG Event;Marsica II.L3.G1.Status.WTG Event;Marsica II.L3.G2.Status.WTG Event;Marsica II.L4.MC1.Status.WTG Event;Marsica II.L4.MC2.Status.WTG Event;Marsica II.L5.A1.Status.WTG Event;Marsica II.L5.A4.Status.WTG Event;Marsica II.L5.A6.Status.WTG Event;Marsica II.L6.A2.Status.WTG Event;Marsica II.L6.A3.Status.WTG Event;Marsica II.L6.A5.Status.WTG Event;
2018/07/13 09:53:14;;;;;;;;;;;;null;;null;
2018/07/13 09:53:14;;;;;;;;;;;;;null;;
2018/07/13 09:53:15;;;;;;;;;0;0;0;;;;
2018/07/13 09:53:16;;;0;0;;;;;;;;;;;
2018/07/13 09:53:16;;;;;0;0;;;;;;;;;
2018/07/13 09:53:18;;;;;;;;;;;;0;0;0;
2018/07/13 09:53:18;0;;;;;;;;;;;;;;
2018/07/13 10:08:09;;0;;;;;;;;;;;;;
2018/07/13 10:08:09;;;;;;;0;0;;;;;;;
2018/07/13 10:08:10;;;;;;;;;0;0;0;;;;
2018/07/13 10:08:12;;;0;0;;;;;;;;;;;
2018/07/13 10:08:12;0;;;;0;0;;;;;;0;0;0;
2018/07/13 12:37:32;null;null;;;;;null;null;;;;;;;
2018/07/13 12:37:37;;0;;;;;0;0;;;;;;;
2018/07/13 12:37:42;0;;;;;;;;;;;;;;
